mu,std_y,rms_y,rms_dy,rms_ddy,energy_y,signal_power,peak_to_peak,crest_factor,zero_crossings,entropy_y,skewness_y,kurtosis_y,mean_abs_y,shape_factor,regime
10.0,1.0,0.99498743710662,0.629232950082893,1.22494726109586,99.0,0.99,2.44549121044688,1.29588213894992,4,6.40830740757409,0.108916113483807,1.2488619690031,0.942657322580566,1.05551340160685,Relaxation
3.0,1.0,0.99498743710662,0.388492687310972,0.303571889950871,98.9999999999999,0.989999999999999,2.58410216629013,1.30617261218294,10,6.29419194339826,0.0217489563974616,1.35908047759771,0.908668904126776,1.09499448323567,Strong_Nonlinear
12.0,1.0,0.99498743710662,0.68426937898108,1.61691085073438,98.9999999999999,0.989999999999999,2.40306494404056,1.31123900787277,4,6.41063549905574,0.223207052244703,1.25202588893626,0.942398397834971,1.05580340479405,Relaxation
3.0,1.0,0.99498743710662,0.388492687092755,0.303571889721681,98.9999999999999,0.989999999999999,2.58410216577501,1.30617261253393,10,6.29419194312628,0.0217489573285992,1.3590804777451,0.908668903901899,1.09499448350666,Strong_Nonlinear
0.01,1.0,0.99498743710662,0.352285316360144,0.140920438029305,98.9999999999999,0.989999999999999,2.81450747298228,1.44876195168488,26,6.1826602226407,-0.056642846758208,1.51845311787409,0.891450813310459,1.1161439557295,Weak_Nonlinear
0.01,1.0,0.99498743710662,0.352285791706,0.140919079883584,98.9999999999999,0.989999999999999,2.81534209204033,1.44816068152538,26,6.18192896557774,0.0561979963664386,1.51864309662995,0.889959714566922,1.11801401886018,Weak_Nonlinear
1e-09,0.999999999999998,0.994987437106618,0.0461867078567585,0.0185001755433327,98.9999999999995,0.989999999999995,2.81313555302522,1.41646064566547,30,6.19158323104603,0.0041555646863276,1.50611629357496,0.89114051483687,1.11653260124612,Harmonic
1e-10,0.999999999999998,0.994987437106618,0.0467856708964709,0.0187164247120878,98.9999999999996,0.989999999999996,2.81476109988022,1.41454240706494,30,6.1907046234037,-9.2270225665384e-05,1.50864034462857,0.89011999421846,1.11781270342122,Harmonic
1e-10,0.999999999999998,0.994987437106618,0.05658088640257,0.0225528694010681,98.9999999999996,0.989999999999996,2.81798715299985,1.41897688328253,29,6.18773171253884,-0.0010833116606403,1.51161022507218,0.892163194628479,1.11525272853355,Harmonic
10.0,1.0,0.99498743710662,0.629255157405874,1.22494779701214,98.9999999999999,0.989999999999999,2.46122560650918,1.30430900683745,4,6.4037167265564,-0.124543999035723,1.25299016560659,0.940275037631482,1.05818765497907,Relaxation
4.0,1.0,0.99498743710662,0.458527062783671,0.427278088745599,98.9999999999999,0.989999999999999,2.58460954341397,1.34454943482115,8,6.27682476377555,-0.072997170594336,1.38122872118786,0.90741916768393,1.09650255641634,Strong_Nonlinear
1e-10,0.999999999999998,0.994987437106618,0.0554591309837001,0.0221843192506664,98.9999999999996,0.989999999999996,2.81519884585688,1.42316581995312,29,6.18994257391948,-0.003534354095809,1.51020811666161,0.892421862840699,1.11492947286101,Harmonic
1e-09,0.999999999999998,0.994987437106618,0.064413322307205,0.0259047487322285,98.9999999999996,0.989999999999996,2.80738938516309,1.41855567416219,28,6.19296832023229,0.011024695402656,1.50972848213845,0.893821088209901,1.11318411506639,Harmonic
3.0,1.0,0.99498743710662,0.388492687119881,0.303571889734614,98.9999999999999,0.989999999999999,2.58410216558096,1.30617261258278,10,6.2941919430606,0.0217489576577916,1.35908047779447,0.908668903822192,1.09499448360271,Strong_Nonlinear
3.0,1.0,0.99498743710662,0.388492687112818,0.303571889785259,98.9999999999999,0.989999999999999,2.5841021656588,1.30617261213588,10,6.29419194337616,0.0217489567926216,1.35908047755223,0.908668904034949,1.09499448334632,Strong_Nonlinear
0.01,1.0,0.99498743710662,0.352271037357785,0.140924260194087,99.0,0.99,2.81525901050962,1.44867106954316,26,6.18296181653787,0.0568376669463783,1.51821526310841,0.891515513770791,1.11606295318202,Weak_Nonlinear
1e-09,0.999999999999998,0.994987437106618,0.065759915359114,0.0262613242985577,98.9999999999996,0.989999999999996,2.8168019068527,1.41559980653623,27,6.18653644555044,-0.0001233482457735,1.51321251730802,0.890966789449433,1.11675030864109,Harmonic
4.0,1.0,0.99498743710662,0.458527063690886,0.427278088472112,98.9999999999999,0.989999999999999,2.58460954538458,1.34454943733078,8,6.2768247608527,0.0729971763211021,1.3812287240276,0.907419166461038,1.09650255789405,Strong_Nonlinear
1e-10,0.999999999999998,0.994987437106618,0.0589316958659132,0.0235668860564813,98.9999999999996,0.989999999999996,2.79327317052767,1.43481928392231,28,6.18259879036803,0.0312842169403081,1.51677846295193,0.889622536973916,1.11843775955936,Harmonic
12.0,1.0,0.99498743710662,0.685611769575079,1.62892987014012,99.0,0.99,2.38814042733638,1.29927639250786,3,6.42758403096497,0.209513762232142,1.23473105629958,0.947192711638033,1.05045934674258,Relaxation
10.0,1.0,0.99498743710662,0.629276655474571,1.22494766646659,99.0,0.99,2.46783968345213,1.29877406847977,4,6.40742785369782,0.113217119565138,1.25192212227138,0.942722355087278,1.05544058835276,Relaxation
0.01,1.0,0.99498743710662,0.35221526940991,0.140946976076962,98.9999999999999,0.989999999999999,2.8143054109845,1.44798618311972,26,6.18359409582986,-0.0550545213830177,1.51656256261186,0.890515578761431,1.1173161490229,Weak_Nonlinear
12.0,1.0,0.99498743710662,0.68740116499214,1.66750862785796,99.0,0.99,2.40133033631442,1.30669720030661,4,6.41038279696835,0.210543279271574,1.24843490904506,0.940264338103477,1.05819969638912,Relaxation
12.0,1.0,0.99498743710662,0.656801011862644,1.59570859472415,99.0,0.99,2.38003322407956,1.28792599201539,3,6.43431263555073,-0.19859118157828,1.22452129176224,0.948055583836678,1.04950327182296,Relaxation
0.05,1.0,0.99498743710662,0.353147135616881,0.14225539335644,98.9999999999999,0.989999999999999,2.80669569867529,1.4428967031896,27,6.18357293066223,0.052351585076799,1.51596171829796,0.890673539523056,1.11711799324298,Weak_Nonlinear
10.0,1.0,0.99498743710662,0.629269530923515,1.22494772518253,99.0,0.99,2.46649424446157,1.30489420103384,4,6.40304403855057,-0.124980155030039,1.25446201524154,0.940267688591554,1.05819592566988,Relaxation
0.01,1.0,0.99498743710662,0.351440034425015,0.141254960655628,98.9999999999999,0.989999999999999,2.80686910068338,1.41646339557751,27,6.19026568540362,0.0057427833744236,1.50868496788308,0.892248494643724,1.11514610904882,Weak_Nonlinear
0.1,1.0,0.99498743710662,0.352405665459504,0.143044723138383,98.9999999999999,0.989999999999999,2.79586114271806,1.444481005055,27,6.19571695245415,-0.0768874043050208,1.51178949872981,0.896928195787981,1.10932786122583,Weak_Nonlinear
10.0,1.0,0.99498743710662,0.70422411633149,1.35165370306319,99.0,0.99,2.5084799215321,1.28218016558161,5,6.37281039190608,0.0416411647488974,1.28585399876697,0.934947523579023,1.06421741543072,Relaxation
0.05,1.0,0.99498743710662,0.353213451714706,0.14222710153488,98.9999999999999,0.989999999999999,2.80724845578366,1.44347263031952,27,6.18234676366999,0.0533953364170302,1.51740293304035,0.890320858598841,1.11756051483787,Weak_Nonlinear
12.0,1.0,0.99498743710662,0.573735457891754,1.44316124187754,98.9999999999999,0.989999999999999,2.46769169964441,1.37671532660077,3,6.40476501947691,-0.224327081797637,1.26367257939266,0.941343388227897,1.05698669534367,Relaxation
0.01,1.0,0.99498743710662,0.351406910531041,0.14127058216924,98.9999999999999,0.989999999999999,2.80545895716477,1.41124972207607,27,6.19074013544346,0.0023111080818142,1.50916775922681,0.892792386291982,1.11446675888342,Weak_Nonlinear
0.05,1.0,0.99498743710662,0.353005091501538,0.142301940336398,98.9999999999999,0.989999999999999,2.80479144588304,1.44047034369633,27,6.18833352926784,0.0479773021720292,1.51095624641826,0.891720499622438,1.11580639620588,Weak_Nonlinear
0.01,1.0,0.99498743710662,0.351918117542938,0.14106348733103,98.9999999999999,0.989999999999999,2.8122244746959,1.43901759633143,27,6.19122316693655,0.0344994805959248,1.51005473864483,0.893266638619966,1.11387506718465,Weak_Nonlinear
15.0,1.0,0.99498743710662,0.648468008512823,2.18550872919156,98.9999999999999,0.989999999999999,2.45251861251588,1.34700597943797,3,6.41319727021021,0.253909607979398,1.25574983520858,0.942325340168529,1.05588526031643,Relaxation
15.0,1.0,0.99498743710662,0.697075413432873,1.97937526756656,98.9999999999999,0.989999999999999,2.39915608906187,1.36083447773002,3,6.4379539985147,-0.238299172260332,1.2324601059377,0.948640336252246,1.0488563463762,Relaxation
10.0,1.0,0.99498743710662,0.629255157234241,1.22494779458135,99.0,0.99,2.46122560545832,1.30430900687994,4,6.40371672850565,-0.124544000795504,1.25299016441295,0.940275038210266,1.05818765432771,Relaxation
4.0,1.0,0.99498743710662,0.447593443076227,0.410616021311933,98.9999999999999,0.989999999999999,2.5707949662784,1.34256149936321,8,6.27907524528017,0.0707038397856388,1.3768219016618,0.907948513005379,1.09586328173294,Strong_Nonlinear
0.0,0.999999999999998,0.994987437106618,0.0643543004151487,0.0255893390368277,98.9999999999997,0.989999999999997,2.82369934814002,1.42076465105856,28,6.18255842280265,0.0034432119574003,1.51920565341929,0.891359187151212,1.11625868835952,Harmonic
0.01,1.0,0.99498743710662,0.352274831110005,0.140922679567011,98.9999999999999,0.989999999999999,2.81569176527142,1.44868088928069,26,6.18292377456245,-0.0564927608551348,1.51810113975902,0.891236067213007,1.11641289408097,Weak_Nonlinear
1e-09,0.999999999999998,0.994987437106618,0.0490822563415266,0.019525996493808,98.9999999999995,0.989999999999995,2.82285181062709,1.43039964727956,30,6.1879459037187,-0.0162248269263204,1.51721764894206,0.89281268561275,1.11444141995333,Harmonic
0.1,1.0,0.99498743710662,0.352396736150984,0.143075269799761,98.9999999999999,0.989999999999999,2.79584466329211,1.43416796242955,27,6.1976195798893,-0.0437306524317241,1.50665709418141,0.897005585309928,1.10923215351311,Weak_Nonlinear
2.0,1.0,0.99498743710662,0.365162226793678,0.223249567611079,98.9999999999999,0.989999999999999,2.6533464570392,1.35429302515212,12,6.25999655815124,-0.0502481909675097,1.40444109120483,0.90442323174456,1.10013476233618,Strong_Nonlinear
3.0,1.0,0.99498743710662,0.388492687251563,0.303571889882942,98.9999999999999,0.989999999999999,2.58410216589961,1.30617261214886,10,6.29419194329839,0.0217489566793791,1.35908047764638,0.908668904028137,1.09499448335453,Strong_Nonlinear
12.0,1.0,0.99498743710662,0.705433180541843,1.61818379177972,98.9999999999999,0.989999999999999,2.43005647326032,1.35707732008234,4,6.37546495464906,0.277086932223917,1.3006588086588,0.935769414256082,1.06328270827019,Relaxation
